Timestamp,What Klout score did you choose? (n=1),What is the average Klout score? (n=5),What is the average Klout score? (n=10)
3/13/2013 3:18:11,52.7051741,33.50304859,44.91469959
3/13/2013 10:13:38,10,45.94,49.33
3/13/2013 10:56:51,45.23071077,30.99971352,40.63249312
3/13/2013 11:24:03,13.46,32.51,38.94
3/13/2013 15:03:59,45.23071077,32.94917032,36.40165489
3/13/2013 15:25:57,27.16909585,39.3920841,45.2943753
3/13/2013 16:53:15,26.16048929,45.05545405,43.58714084
3/13/2013 17:07:45,89,49.22627351,45.33778873
3/13/2013 17:44:28,26.16,43.22,42.23
3/13/2013 22:57:22,40.89873483,41.9035,45.8133199
3/14/2013 6:25:28,48.40714053,27.17444804,39.9644845
3/14/2013 8:24:50,51.7333917,36.8166838,42.35707982
3/14/2013 9:59:56,12.61133873,51.33412367,33.34152142
3/14/2013 10:40:35,50.80040739,44.40232413,38.78154806
3/14/2013 11:39:48,40.78219362,7.305224865,3.660345331
3/14/2013 12:54:13,41.36937863,38.53325657,28.51066337
3/14/2013 13:29:49,40.45979461,41.12207589,39.77400686
3/14/2013 14:10:39,22.92318229,41.3439159,32.89904986
3/14/2013 14:37:31,28.9642546,45.4543626,44.4877495
3/14/2013 15:02:48,26.72403202,45.983,36.27747741
3/14/2013 16:52:18,50.51981947,40.25426567,40.3126862
3/14/2013 17:58:54,24.78,22.69,35.06
3/14/2013 18:35:02,25,32,68
3/14/2013 21:01:44,64.12300514,46.52545414,36.31541255
3/14/2013 22:52:12,22.97497165,29.43126,36.24800694
3/15/2013 0:17:17,21.76,50.36,30.24
3/15/2013 1:52:14,55.71,26.233,43.3
3/15/2013 4:29:39,55.335,29.041,42.405
3/15/2013 4:50:34,34.3586595,55.63910076,39.16447541
3/15/2013 5:48:37,31.60922,41.903,38.101
3/15/2013 6:52:48,53.30779866,30.35265087,36.399093
3/15/2013 14:12:23,18.50704212,36.80783297,39.18442959
3/15/2013 17:25:04,47.33513614,41.94057082,32.40202139
3/15/2013 23:35:45,28.53,39.04,32.99
3/16/2013 0:45:47,52.73,74.32,100.43
3/16/2013 3:51:58,22.36088208,25.05025404,39.99838125
3/16/2013 6:52:10,20.5746405,33.3020223,39.1413064
3/16/2013 7:56:35,42.1905,35.39949,34.22889
3/16/2013 10:30:35,36.81844,29.42015,38.79095
3/16/2013 13:23:11,22.92318229,37.36345144,33.69451711
3/16/2013 14:11:40,31.60922025,42.465,35.4630358
3/16/2013 17:25:25,64.46902062,44.40232413,32.48858798
3/16/2013 20:04:15,14.956,34.43,38.39
3/16/2013 21:37:50,49.21799145,49.82182226,36.72742631
3/16/2013 22:37:47,44.9916693,32.68466511,51.03537586
3/16/2013 23:22:46,13.54,42.954,33.051
